id	施設名	区分	lat	lon	R6_0歳_199以下	R6_0歳_200	R6_0歳_201以上	R6_0歳_最低指数	R6_0歳_計	R6_1歳_199以下	R6_1歳_200	R6_1歳_201以上	R6_1歳_最低指数	R6_1歳_計	R6_2歳_199以下	R6_2歳_200	R6_2歳_201以上	R6_2歳_最低指数	R6_2歳_計	R6_3歳_199以下	R6_3歳_200	R6_3歳_201以上	R6_3歳_最低指数	R6_3歳_計	R5_0歳_199以下	R5_0歳_200	R5_0歳_201以上	R5_0歳_最低指数	R5_0歳_計	R5_1歳_199以下	R5_1歳_200	R5_1歳_201以上	R5_1歳_最低指数	R5_1歳_計	R5_2歳_199以下	R5_2歳_200	R5_2歳_201以上	R5_2歳_最低指数	R5_2歳_計	R5_3歳_199以下	R5_3歳_200	R5_3歳_201以上	R5_3歳_最低指数	R5_3歳_計
1	北保育所	市立	35.68703	139.488843	0	1	5	200	6	0	1	4	200	5	9	0	1	150	10	2	0	0	×	2	3	2	3	139	8	0	4	1	200	5	6	2	2	170	10	0	0	0	-	0
2	東保育所	市立	35.673238	139.50354	0	2	4	200	6	0	6	1	200	7	0	0	3	202	3	×	×	×	×	1	0	0	6	201	6	0	1	6	200	7	0	1	3	200	4	0	0	2	×	2
3	西保育所	市立	35.670237	139.462849	4	1	1	160	6	0	1	4	200	5	4	1	0	151	5	0	1	1	200	2	0	5	3	200	8	0	4	2	200	6	4	0	1	150	5	1	1	1	182	3
4	中央保育所	市立	35.679824	139.473692	0	0	3	202	3	2	4	1	170	7	2	0	1	196	3	2	0	0	×	2	3	0	2	0	5	0	2	5	200	7	0	0	3	203	3	1	0	1	×	2
5	北山保育所	市立	35.690522	139.455065	4	0	2	170	6	0	0	5	201	5	1	0	4	193	5	×	×	×	×	1	2	2	0	140	4	0	0	5	201	5	0	1	4	200	5	0	0	2	×	2
6	住吉保育所	市立	35.656851	139.46056	2	2	2	172	6	0	1	8	200	9	5	0	2	80	7	0	1	1	200	2	0	5	4	200	9	0	4	5	200	9	6	1	1	153	8	4	0	0	163	4
7	小柳保育所	市立	35.660853	139.501025	0	3	0	200	3	0	0	2	×	2	×	×	×	×	1	2	1	1	150	4	0	0	2	×	2	0	0	2	×	2	×	×	×	×	1	6	0	1	160	7
8	八幡保育所	市立	35.668996	139.484803	2	0	0	×	2	0	0	2	×	2	0	0	0	-	0	×	×	×	×	1	1	0	2	192	3	2	1	2	173	5	0	0	0	-	0	3	1	2	173	6
9	本町保育所	市立	35.664433	139.47142	0	0	6	202	6	0	2	3	200	5	0	0	2	×	2	2	0	2	150	4	0	1	2	200	3	0	2	2	200	4	0	0	2	×	2	9	0	0	116	9
10	三本木保育所	市立	35.677621	139.488532	0	2	4	200	6	0	2	11	200	13	1	1	2	183	4	×	×	×	×	1	0	3	4	200	7	0	5	7	200	12	0	0	4	201	4	0	0	3	201	3
