id	施設名	R5_0歳_199以下	R5_0歳_200	R5_0歳_201以上	R5_0歳_最低指数	R5_0歳_計	R5_1歳_199以下	R5_1歳_200	R5_1歳_201以上	R5_1歳_最低指数	R5_1歳_計	R5_2歳_199以下	R5_2歳_200	R5_2歳_201以上	R5_2歳_最低指数	R5_2歳_計	R5_3歳_199以下	R5_3歳_200	R5_3歳_201以上	R5_3歳_最低指数	R5_3歳_計
1	北保育所	3	2	3	139	8	0	4	1	200	5	6	2	2	170	10	0	0	0	-	0
2	東保育所	0	0	6	201	6	0	1	6	200	7	0	1	3	200	4	0	0	2	×	2
3	西保育所	0	5	3	200	8	0	4	2	200	6	4	0	1	150	5	1	1	1	182	3
4	中央保育所	3	0	2	0	5	0	2	5	200	7	0	0	3	203	3	1	0	1	×	2
5	北山保育所	2	2	0	140	4	0	0	5	201	5	0	1	4	200	5	0	0	2	×	2
6	住吉保育所	0	5	4	200	9	0	4	5	200	9	6	1	1	153	8	4	0	0	163	4
7	小柳保育所	0	0	2	×	2	0	0	2	×	2	×	×	×	×	1	6	0	1	160	7
8	八幡保育所	1	0	2	192	3	2	1	2	173	5	0	0	0	-	0	3	1	2	173	6
9	本町保育所	0	1	2	200	3	0	2	2	200	4	0	0	2	×	2	9	0	0	116	9
10	三本木保育所	0	3	4	200	7	0	5	7	200	12	0	0	4	201	4	0	0	3	201	3
11	美好保育所	0	4	2	200	6	0	0	2	×	2	5	0	1	146	6	2	0	0	×	2
12	府中愛児園	5	7	7	180	19	13	8	10	100	31	1	1	0	×	2	7	1	3	149	11
13	南分倍保育園	1	2	3	193	6	2	3	4	190	9	1	0	3	174	4	4	0	0	170	4
14	髙安寺保育園	0	7	3	200	10	0	4	6	200	10	1	2	1	193	4	11	1	0	151	12
15	千春保育園	3	2	0	0	5	1	2	4	150	7	10	0	2	148	12	1	0	1	×	2
16	是政保育園	0	9	7	200	16	0	1	7	200	8	×	×	×	×	1	0	0	0	-	0
17	晴見保育園	4	0	4	150	8	0	2	2	200	4	×	×	×	×	1	0	0	0	-	0
18	押立保育園	0	4	5	200	9	0	0	12	201	12	0	0	2	×	2	0	0	4	201	4
19	府中保育園	-	-	-	-	-	0	0	11	202	11	×	×	×	×	1	2	0	1	184	3
20	にじのいろ保育園	6	1	2	105	9	2	2	2	145	6	×	×	×	×	1	0	0	0	-	0
21	山手保育園	1	1	1	163	3	0	2	0	200	2	0	0	0	-	0	-	-	-	-	-
22	さくらんぼ保育園	4	2	2	154	8	0	4	7	200	11	0	1	1	200	2	0	0	0	-	0
23	押立第二保育園	4	2	3	181	9	0	3	7	200	10	3	0	1	134	4	1	0	1	×	2
24	わらしこ保育園	4	1	3	140	8	0	1	2	200	3	0	0	0	-	0	0	0	3	203	3
25	第２府中保育園	1	1	2	183	4	0	0	7	201	7	4	0	1	183	5	0	0	3	203	3
26	府中めぐみ保育園	0	8	1	200	9	0	1	2	200	3	×	×	×	×	1	-	-	-	-	-
27	キッズエイド武蔵保育園	2	1	3	149	6	1	2	1	190	4	2	0	0	×	2	0	0	0	-	0
28	山手保育園清水が丘分園	1	0	2	193	3	2	0	0	×	2	0	0	0	-	0	-	-	-	-	-
29	やまびこ保育園	0	2	3	200	5	0	3	2	200	5	×	×	×	×	1	0	0	0	-	0
30	キッズランド府中保育園	0	4	2	200	6	0	1	1	200	2	1	0	1	×	2	×	×	×	×	1
31	府中保育園分園	0	5	7	200	12	0	3	1	200	4	-	-	-	-	-	-	-	-	-	-
32	キッズルームこっこ保育園	2	1	0	185	3	0	3	3	200	6	0	0	0	-	0	2	0	1	153	3
33	府中中河原雲母保育園	4	2	0	180	6	4	1	0	153	5	×	×	×	×	1	×	×	×	×	1
