id	施設名	0歳	1歳	2歳	3歳	4歳	5歳
1	北保育所	23	23	18	6	4	0
2	東保育所	32	52	26	13	7	1
3	西保育所	25	43	16	7	1	1
4	中央保育所	20	21	14	7	4	1
5	北山保育所	13	15	10	4	1	1
6	住吉保育所	21	43	14	15	2	0
7	小柳保育所	14	22	9	29	0	0
8	八幡保育所	11	19	6	15	3	0
9	本町保育所	31	38	17	32	3	2
10	三本木保育所	31	52	25	15	9	0
11	美好保育所	26	33	24	7	2	2
12	府中愛児園	37	79	23	27	6	0
13	南分倍保育園	19	30	9	30	1	0
14	髙安寺保育園	47	60	26	54	3	2
15	千春保育園	11	15	10	2	0	1
16	是政保育園	26	33	8	9	2	1
17	晴見保育園	28	34	17	8	4	0
18	押立保育園	26	47	25	20	0	0
19	府中保育園	-	73	17	20	1	1
20	にじのいろ保育園	14	17	6	4	3	0
21	山手保育園	23	38	10	-	-	-
22	さくらんぼ保育園	21	38	19	7	4	1
23	押立第二保育園	23	42	24	7	1	0
24	わらしこ保育園	20	24	8	3	4	1
25	第２府中保育園	12	13	5	7	0	0
26	府中めぐみ保育園	48	67	10	-	-	-
27	キッズエイド武蔵保育園	15	18	13	4	2	0
28	山手保育園清水が丘分園	15	27	4	-	-	-
29	やまびこ保育園	7	9	1	0	1	0
30	キッズランド府中保育園	27	37	7	8	2	0
31	府中保育園分園	34	33	-	-	-	-
32	キッズルームこっこ保育園	20	43	10	9	3	1
33	府中中河原雲母保育園	28	25	7	10	2	0
34	めぐみ第二保育園	26	23	19	12	3	0
35	西府の森保育園	-	53	16	4	1	0
36	わらしこ第２保育園	15	35	12	3	5	1
37	山手こひつじ保育園	30	47	19	17	1	1
38	白糸さくらんぼ保育園	12	29	13	2	2	1
39	分倍保育園	24	31	19	7	1	2
40	光明高倉保育園	54	93	26	35	3	1
41	まなびの森保育園中河原	29	39	14	11	1	0
42	明桜保育園	15	32	5	6	1	0
43	そよかぜハーモニー保育園	22	41	15	9	2	0
44	よつば保育園	36	54	29	22	10	0
45	第２キッズランド府中保育園	39	55	18	23	2	0
46	光明府中南保育園	29	49	13	-	-	-
47	アスク府中本町保育園	33	56	16	31	2	0
48	太陽の子清水が丘三丁目保育園	19	37	22	15	3	1
49	ラフ・クルー分倍河原保育園	32	56	13	5	1	1
50	ラフ・クルー分倍河原保育園分園	29	34	4	-	-	-
51	このめ保育園	61	98	30	31	2	0
52	アスク府中片町保育園	51	76	24	37	1	0
53	ふちしらコスモ保育園	17	32	15	3	1	1
54	トレジャーキッズぶばい保育園	33	41	15	5	1	0
55	まなびの森保育園東府中	39	74	32	13	7	0
56	まなびの森保育園府中	64	91	40	28	6	0
57	ソラスト府中保育園	24	42	18	7	2	1
58	ヴィラまなびの森保育園住吉町	28	43	11	14	2	0
59	府中緑町・学びの保育園	23	63	14	23	3	0
60	ひよこっこはちまん	2	1	0	-	-	-
61	ひよこっこわかまつ	1	4	0	-	-	-
62	ねぎし保育園	8	10	4	-	-	-
