id	施設名	0歳_199以下	0歳_200	0歳_201以上	0歳_最低指数	0歳_計	1歳_199以下	1歳_200	1歳_201以上	1歳_最低指数	1歳_計	2歳_199以下	2歳_200	2歳_201以上	2歳_最低指数	2歳_計	3歳_199以下	3歳_200	3歳_201以上	3歳_最低指数	3歳_計
1	北保育所	0	1	5	200	6	0	1	4	200	5	9	0	1	150	10	2	0	0	×	2
2	東保育所	0	2	4	200	6	0	6	1	200	7	0	0	3	202	3	×	×	×	×	1
3	西保育所	4	1	1	160	6	0	1	4	200	5	4	1	0	151	5	0	1	1	200	2
4	中央保育所	0	0	3	202	3	2	4	1	170	7	2	0	1	196	3	2	0	0	×	2
5	北山保育所	4	0	2	170	6	0	0	5	201	5	1	0	4	193	5	×	×	×	×	1
6	住吉保育所	2	2	2	172	6	0	1	8	200	9	5	0	2	80	7	0	1	1	200	2
7	小柳保育所	0	3	0	200	3	0	0	2	×	2	×	×	×	×	1	2	1	1	150	4
8	八幡保育所	2	0	0	×	2	0	0	2	×	2	0	0	0	-	0	×	×	×	×	1
9	本町保育所	0	0	6	202	6	0	2	3	200	5	0	0	2	×	2	2	0	2	150	4
10	三本木保育所	0	2	4	200	6	0	2	11	200	13	1	1	2	183	4	×	×	×	×	1
11	美好保育所	3	2	1	146	6	0	1	1	200	2	6	1	2	150	9	×	×	×	×	1
12	府中愛児園	1	0	5	183	6	12	14	13	150	39	2	1	3	183	6	0	0	2	×	2
13	南分倍保育園	2	1	3	182	6	1	5	3	190	9	3	0	0	182	3	3	0	0	160	3
14	髙安寺保育園	0	4	6	200	10	0	3	7	200	10	0	0	4	203	4	3	1	4	154	8
15	千春保育園	2	0	2	150	4	4	2	3	151	9	4	0	1	131	5	1	0	1	×	2
16	是政保育園	2	4	3	153	9	0	0	8	201	8	×	×	×	×	1	0	0	0	-	0
17	晴見保育園	0	8	1	200	9	0	4	1	200	5	×	×	×	×	1	0	0	0	-	0
18	押立保育園	2	5	1	180	8	0	6	6	200	12	0	0	2	×	2	0	0	3	203	3
19	府中保育園	-	-	-	-	-	0	0	11	202	11	×	×	×	×	1	0	0	3	203	3
20	にじのいろ保育園	3	1	2	150	6	1	4	1	193	6	0	0	2	×	2	0	0	0	-	0
21	山手保育園	2	0	0	×	2	1	2	1	190	4	0	0	0	-	0	-	-	-	-	-
22	さくらんぼ保育園	4	3	2	151	9	0	3	7	200	10	0	0	2	×	2	×	×	×	×	1
23	押立第二保育園	1	3	5	180	9	0	7	3	200	10	0	0	3	201	3	×	×	×	×	1
24	わらしこ保育園	2	4	4	150	10	0	1	1	200	2	0	0	0	-	0	0	0	0	-	0
25	第２府中保育園	4	0	5	162	9	1	4	3	180	8	3	0	1	150	4	0	0	3	201	3
26	府中めぐみ保育園	0	7	2	200	9	0	0	4	201	4	×	×	×	×	1	-	-	-	-	-
27	キッズエイド武蔵保育園	1	2	1	150	4	1	1	2	151	4	2	1	0	191	3	×	×	×	×	1
28	山手保育園清水が丘分園	1	1	1	161	3	1	4	1	192	6	2	0	0	×	2	-	-	-	-	-
29	やまびこ保育園	0	0	2	×	2	2	0	2	162	4	0	0	0	-	0	0	0	0	-	0
30	キッズランド府中保育園	2	3	1	153	6	0	0	2	×	2	1	0	1	×	2	×	×	×	×	1
31	府中保育園分園	0	6	6	200	12	0	0	3	201	3	-	-	-	-	0	-	-	-	-	-
32	キッズルームこっこ保育園	1	1	2	192	4	0	3	3	200	6	0	0	0	-	0	×	×	×	×	1
33	府中中河原雲母保育園	3	1	2	170	6	1	3	0	196	4	×	×	×	×	1	2	0	0	×	2
34	めぐみ第二保育園	4	4	1	174	9	×	×	×	×	1	2	2	1	171	5	0	0	2	×	2
35	西府の森保育園	-	-	-	-	-	0	0	12	201	12	0	0	2	×	2	0	0	0	-	0
36	わらしこ第２保育園	0	0	0	-	0	2	6	4	182	12	0	2	0	200	2	×	×	×	×	1
37	山手こひつじ保育園	1	3	2	192	6	0	0	5	201	5	×	×	×	×	1	1	0	1	×	2
38	白糸さくらんぼ保育園	2	0	1	161	3	3	3	4	182	10	0	3	0	200	3	0	0	0	-	0
39	分倍保育園	0	1	5	200	6	2	4	9	163	15	3	0	1	189	4	4	0	1	163	5
40	光明高倉保育園	0	6	2	200	8	0	0	14	201	14	0	0	3	202	3	×	×	×	×	1
41	まなびの森保育園中河原	1	1	4	172	6	0	6	4	200	10	×	×	×	×	1	0	0	0	-	0
42	明桜保育園	0	3	2	200	5	6	0	6	151	12	×	×	×	×	1	×	×	×	×	1
43	そよかぜハーモニー保育園	2	3	1	180	6	0	3	2	200	5	0	0	0	-	0	×	×	×	×	1
44	よつば保育園	0	4	5	200	9	0	0	6	202	6	0	0	3	202	3	0	0	2	×	2
45	第２キッズランド府中保育園	0	0	6	201	6	0	0	4	204	4	0	0	2	×	2	0	0	0	-	0
46	光明府中南保育園	6	3	0	151	9	6	13	0	151	19	2	0	0	×	2	-	-	-	-	-
47	アスク府中本町保育園	0	3	3	200	6	0	2	4	200	6	2	1	0	160	3	×	×	×	×	1
48	太陽の子清水が丘三丁目保育園	1	1	1	175	3	1	3	3	193	7	×	×	×	×	1	2	0	0	×	2
49	ラフ・クルー分倍河原保育園	0	2	1	200	3	0	4	2	200	6	0	0	0	-	0	0	0	0	-	0
50	ラフ・クルー分倍河原保育園分園	3	0	0	150	3	0	4	1	200	5	0	0	0	-	0	-	-	-	-	-
51	このめ保育園	0	3	3	200	6	0	0	4	203	4	0	0	2	×	2	0	0	2	×	2
52	アスク府中片町保育園	0	2	4	200	6	0	4	2	200	6	1	0	1	×	2	0	0	0	-	0
53	ふちしらコスモ保育園	2	1	1	0	4	4	5	4	151	13	0	0	2	×	2	0	0	0	-	0
54	トレジャーキッズぶばい保育園	0	2	2	200	4	0	7	0	200	7	×	×	×	×	1	0	0	0	-	0
55	まなびの森保育園東府中	0	5	1	200	6	0	0	8	201	8	×	×	×	×	1	0	0	0	-	0
56	まなびの森保育園府中	0	0	6	201	6	0	0	14	201	14	0	0	2	×	2	0	0	0	-	0
57	ソラスト府中保育園	4	1	4	152	9	2	5	4	192	11	0	0	2	×	2	2	0	0	×	2
58	ヴィラまなびの森保育園住吉町	0	0	3	202	3	3	4	3	190	10	1	1	0	×	2	1	0	2	184	3
59	府中緑町・学びの保育園	0	3	0	200	3	0	4	4	200	8	×	×	×	×	1	0	0	2	×	2
60	ひよこっこはちまん	×	×	×	×	1	×	×	×	×	1	0	0	0	-	0	-	-	-	-	-
61	ひよこっこわかまつ	0	0	0	-	0	0	2	0	200	2	0	0	0	-	0	-	-	-	-	-
62	ねぎし保育園	2	0	1	145	3	2	1	0	151	3	0	0	0	-	0	-	-	-	-	-
