id	施設名	区分	lat	lon
1	北保育所	市立	35.68703	139.488843
2	東保育所	市立	35.673238	139.50354
3	西保育所	市立	35.670237	139.462849
4	中央保育所	市立	35.679824	139.473692
5	北山保育所	市立	35.690522	139.455065
6	住吉保育所	市立	35.656851	139.46056
7	小柳保育所	市立	35.660853	139.501025
8	八幡保育所	市立	35.668996	139.484803
9	本町保育所	市立	35.664433	139.47142
10	三本木保育所	市立	35.677621	139.488532
11	美好保育所	市立	35.672717	139.466768
12	府中愛児園	私立	35.668018	139.492759
13	南分倍保育園	私立	35.658692	139.468881
14	髙安寺保育園	私立	35.669487	139.471531
15	千春保育園	私立	35.69484	139.462449
16	是政保育園	私立	35.659896	139.489099
17	晴見保育園	私立	35.680272	139.479214
18	押立保育園	私立	35.660484	139.512484
19	府中保育園	私立	35.66654	139.460746
20	にじのいろ保育園	私立	35.65662	139.48323
21	山手保育園	私立	35.664387	139.513854
22	さくらんぼ保育園	私立	35.673939	139.511523
23	押立第二保育園	私立	35.659037	139.513152
24	わらしこ保育園	私立	35.676509	139.507883
25	第２府中保育園	私立	35.669544	139.441011
26	府中めぐみ保育園	私立	35.671072	139.48247
27	キッズエイド武蔵保育園	私立	35.676118	139.499151
28	山手保育園清水が丘分園	私立	35.665324	139.493962
29	やまびこ保育園	私立	35.685962	139.521762
30	キッズランド府中保育園	私立	35.673738	139.475463
31	府中保育園分園	私立	35.670596	139.457291
32	キッズルームこっこ保育園	私立	35.667186	139.503783
33	府中中河原雲母保育園	私立	35.658696	139.459027
34	めぐみ第二保育園	私立	35.686779	139.489105
35	西府の森保育園	私立	35.670948	139.458073
36	わらしこ第２保育園	私立	35.673226	139.506151
37	山手こひつじ保育園	私立	35.66421	139.511885
38	白糸さくらんぼ保育園	私立	35.668809	139.518177
39	分倍保育園	私立	35.676126	139.467067
40	光明高倉保育園	私立	35.666848	139.467179
41	まなびの森保育園中河原	私立	35.661203	139.452433
42	明桜保育園	私立	35.665761	139.448785
43	そよかぜハーモニー保育園	私立	35.670742	139.491519
44	よつば保育園	私立	35.675899	139.489844
45	第２キッズランド府中保育園	私立	35.673738	139.475463
46	光明府中南保育園	私立	35.663796	139.474979
47	アスク府中本町保育園	私立	35.664719	139.477009
48	太陽の子清水が丘三丁目保育園	私立	35.666439	139.503437
49	ラフ・クルー分倍河原保育園	私立	35.671539	139.463291
50	ラフ・クルー分倍河原保育園分園	私立	35.670044	139.468451
51	このめ保育園	私立	35.671358	139.483195
52	アスク府中片町保育園	私立	35.667015	139.473186
53	ふちしらコスモ保育園	私立	35.664312	139.518236
54	トレジャーキッズぶばい保育園	私立	35.671509	139.466712
55	まなびの森保育園東府中	私立	35.669026	139.497995
56	まなびの森保育園府中	私立	35.673319	139.482399
57	ソラスト府中保育園	私立	35.662572	139.501119
58	ヴィラまなびの森保育園住吉町	私立	35.663221	139.452613
59	府中緑町・学びの保育園	私立	35.671266	139.485793
60	ひよこっこはちまん	地域型	35.668996	139.484803
61	ひよこっこわかまつ	地域型	35.667186	139.503783
62	ねぎし保育園	地域型	35.693809	139.460304
63	府中プチ・クレイシュ	認可外	35.672287	139.481283
64	府中北プチ・クレイシュ	認可外	35.687201	139.50193
65	エーワン府中駅前保育園	認可外	35.668807	139.494299
66	ピジョンランド府中	認可外	35.669868	139.481169
67	田中保育所	認可外	35.684968	139.491467
68	府中エンゼルホーム	認可外	35.678156	139.462373
69	リブリエンゼル府中	認可外	35.6769	139.459736
70	ごんべのお宿保育園	認可外	35.667255	139.494084
71	京王キッズプラッツ東府中	認可外	35.669181	139.495031
72	ポピンズナーサリースクール府中	認可外	35.672875	139.4766
73	グローバルキッズ府中本町園	認可外	35.66569	139.478132
74	みのり保育園	認可外	35.681341	139.485525
75	ヒューマンアカデミー中河原保育園	認可外	35.660186	139.451829
76	ぱるキッズ府中	認可外	35.678487	139.484742
77	きなり保育園	認可外	35.683253	139.489595
78	結hana保育園	認可外	35.689011	139.479751
79	府中たいよう保育園	認可外	35.670353	139.478145
80	リトルガーデンインターナショナルスクール・アカデミー	認可外	35.678277	139.478032
81	Jelly Beans	認可外	35.675642	139.483231
82	Stars＆Stripes English	認可外	35.675536	139.483375
83	聖イリナ・モンテッソーリスクール	認可外	35.656791	139.457866
84	マムのおうち	認可外	35.6732	139.477815
85	カルバリーチャペル府中(We go eigo)	認可外	35.672317	139.486026
86	PAL International School@TUFS	認可外	35.672402	139.522392
87	Stars＆Stripes International School Tama River 校	認可外	35.664897	139.443128
